,name,year,vote_average,page_url,image_url,genres,director,actors,description
0,Masters of the Air,2024,7.763,https://www.themoviedb.org/tv/46518,https://image.tmdb.org/t/p/original/rSAmgcoA74371rplbqM27yVsd3y.jpg,"Drama,War&Politics",John Orloff,"Austin Butler, Callum Turner, Anthony Boyle, Nate Mann, Stephen Campbell Moore","During World War II, airmen risk their lives with the 100th Bomb Group, a brotherhood forged by courage, loss, and triumph."
1,Mobile Suit Gundam: Iron-Blooded Orphans,2015,7.4,https://www.themoviedb.org/tv/64375,https://image.tmdb.org/t/p/original/x5M9yxvBhrUP4rsKSl3d9VzK7O.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Kengo Kawanishi, Yoshimasa Hosoya, Yuka Terasaki, Hisako Kanemoto, Yuuichirou Umehara","On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government."
2,Star Blazers: Space Battleship Yamato 2199,2013,7.221,https://www.themoviedb.org/tv/45844,https://image.tmdb.org/t/p/original/kP0qdJDIV2kHF2CTw8l5RrGyZYE.jpg,"Drama,Action&Adventure,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Daisuke Ono, Kenichi Suzumura, Sakaya Kanda, Houko Kuwashima, Hochu Otsuka","The year is 2199. The human race has been crushed in their war with the Gamilos, driven into underground cities by the invader's assault. Scientists estimate they have only a year left. The young officers Susumu Kodai and Daisuke Shima receive a mysterious capsule from a ship that made an emergency landing on Mars and return with it to Earth. It contains humanity's last hope: the planet Iscandar on the other side of the Magellan Galaxy has the technology to defeat the Gamilos and restore the planet. The space battleship Yamato is entrusted with this task, but they have only one year before humanity ends."
3,Mobile Suit Zeta Gundam,1985,8.0,https://www.themoviedb.org/tv/13674,https://image.tmdb.org/t/p/original/pmErEd15QbO05OJ3awhr7jvs8LQ.jpg,"Drama,Action&Adventure,War&Politics,Animation",Yoshiyuki Tomino,"Nobuo Tobita, Shuichi Ikeda, Miyuki Matsuoka, Maya Okamoto, Kazuhiko Inoue","Universal Century 0087, 7 years have passed since the end of the One Year War between the Earth Federation and the Principality of Zeon. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have spurred the creation of a rebellious faction called the Anti-Earth Union Group (AEUG)."
4,SIX,2017,7.3,https://www.themoviedb.org/tv/66871,https://image.tmdb.org/t/p/original/3UUbbelbbHGo0AEHK7DQbJMosnJ.jpg,"Crime,Drama,Action&Adventure,War&Politics","David Broyles, William Broyles Jr.","Olivia Munn, Barry Sloane, Dominic Adams, Kyle Schmid, Juan Pablo Raba",Action drama series inspired by the real missions of Navy SEAL Team Six.
5,Ekaterina,2014,7.8,https://www.themoviedb.org/tv/71152,https://image.tmdb.org/t/p/original/cEFDuWZ32UqAL9AU15g04xmw3jY.jpg,"Drama,War&Politics",Unknown,"Marina Aleksandrova, Vladimir Yaglych, Pavel Tabakov, Nadezhda Lumpova, Nikolay Ivanov","1745. The reigning Empress Elizabeth Petrovna is infertile. The only heir is her feeble-minded nephew Peter III. Elizabeth cannot allow Peter to ascend to the throne, so she decides to marry the tsarevich, wait for the birth of her son, and then take the boy and raise him as a real Russian emperor herself. Brides are coming to St. Petersburg. Among them is the lovely Fike - the young Princess Sofia Frederica from the impoverished branch of the Prussian kings."
6,"What Will You Do, Ieyasu?",2023,7.7,https://www.themoviedb.org/tv/136778,https://image.tmdb.org/t/p/original/yIA6KveOCGwacod51XfMUoNGBMR.jpg,"Drama,War&Politics",Unknown,"Jun Matsumoto, Junichi Okada, Kasumi Arimura, Tsuyoshi Muro, Mansai Nomura","He lost his land, his father, and was torn from his mother. Lonely and wounded, young Takechiyo thought he'd live out his days quietly as a hostage. But fate had other plans. Inspired by Mikawa warriors, he becomes a minor lord and dives into a war-torn world ruled by monsters like Nobunaga and Shingen.Life-or-death moments, miscalculations, and no time to breathe—what will you do, Ieyasu?"
8,The Glory of Youth,2021,6.5,https://www.themoviedb.org/tv/123227,https://image.tmdb.org/t/p/original/hKQbp2mwqhvtWpI8opDanUIsfU7.jpg,"Drama,War&Politics",Unknown,"Li Yifeng, Viann Zhang Xinyu, Xiao Yang, Chen Xingxu, Duan Bowen","A group of university students joins the rocket force, facing rigorous training under experienced soldiers. Among them, four roommates—Xia Zhuo, Ouyang Jun, Lin An Bang, and Yi Zi Meng—struggle to adapt. Despite initial doubts, their journey transforms them into true soldiers."
9,Navy Log,1955,4.5,https://www.themoviedb.org/tv/13813,https://cdn-user30887.skyeng.ru/uploads/67699855aef14490296321.webp,"Drama,War&Politics",Samuel Gallu,Clint Eastwood,"Navy Log is an American drama anthology series that initially aired for one season on CBS. It relates the greatest survival war stories in the history of the United States Navy. This series premiered on September 20, 1955, but the following year, it was moved to ABC, where it aired until September 25, 1958. The program aired for a total of three seasons and 102 episodes."
10,The Rebel Princess,2021,6.9,https://www.themoviedb.org/tv/116293,https://image.tmdb.org/t/p/original/6MFsVuhe23tdYKxgyZk0OPRi9XV.jpg,"Drama,War&Politics",Li Jing Ling,"Zhang Ziyi, Zhou Yiwei, Tony Yang, Yu Hewei, Jia Yiping","Wang Xuan and Xiao Qi strike a deal for the sake of power. They marry first before falling in love and join hands to protect their homeland. She is a woman who is no less than any man while he rose from humble beginnings.

The imperial family has become rotten to the core. The nobles are lavish with no regard for the people. Princess Wang Xuan and her childhood sweetheart, the third prince, become pawns of a prophecy that states, ""to acquire thee is to obtain the world."" Being pulled into the matters of the court, Wang Xuan is married off by her father to Xiao Qi who comes from a poor family. On the night of their wedding, Xiao Qi is forced to leave the capital. Wang Xuan is shamed and discouraged. The Helan Prince kidnaps Wang Xuan in order to seek revenge on Xiao Qi. The crisis they face becomes a blessing in disguise for the couple. Wang Xuan is moved and inspired by Xiao Qi's wish to bring peace and prosperity to the nation and they fall in love."
11,For the Sake of the Republic,2003,9.2,https://www.themoviedb.org/tv/66498,https://image.tmdb.org/t/p/original/7D9DVvIgAllcwWPK0FHneL8jaFf.jpg,"Drama,War&Politics",Zhang Li,"Lü Zhong, Wang Bing, Sun Chun, Ma Shaohua, Li Guangjie","Towards the Republic, also known as For the Sake of the Republic and Zou Xiang Gong He, is a Chinese historical television series first broadcast on CCTV in China from April to May 2003. The series is based on events that occurred in China between the late 19th century and early 20th century that led to the collapse of the Qing Dynasty and the founding of the Republic of China. Owing to its portrayal of historical issues deemed politically sensitive by the Chinese government, the series has been subject to censorship in mainland China."
12,Ice Fantasy,2016,5.9,https://www.themoviedb.org/tv/67015,https://image.tmdb.org/t/p/original/kmXMaUqlyzOQ0zN5e7zPwd8kawa.jpg,"Sci-Fi&Fantasy,Drama,War&Politics",Guo Jingming,"William Feng, Victoria Song, Ma Tianyu, Zhang Meng, Madina Memet","A century after the war between the Ice and Fire Tribes, Prince Ka Suo of the Ice Tribe becomes king, searching for his missing lover and brother. He uncovers a dark conspiracy within his tribe, unaware that his brother, now the Fire Prince with no memory of his past, is leading the Fire Tribe. As tensions rise, the brothers are forced into a new conflict, this time against each other."
13,China Beach,1988,7.4,https://www.themoviedb.org/tv/2294,https://image.tmdb.org/t/p/original/hAHjHqh9b31xljMxSc6PBet3a1X.jpg,"Drama,War&Politics","John Wells, John Sacret Young","Dana Delany, Marg Helgenberger, Michael Boatman, Troy Evans, Nancy Giles","Dateline: November 1967. Within klicks of Danang, Vietnam, sits a U.S. Army base, bar and hospital on China Beach filled with wounded soldiers and one very lovely but damaged Army Nurse Colleen McMurphy. Many heroes, dead and alive, try to make sense of life and death in between bourbon, bullets and battles."
14,Soldier Soldier,1991,6.6,https://www.themoviedb.org/tv/13587,https://image.tmdb.org/t/p/original/xTViK9932qvFrEOJznd82HTsl92.jpg,"Drama,War&Politics",Lucy Gannon,Unknown,"The daily lives of a group of soldiers in 'B' Company, 1st Battalion The King's Fusiliers."
16,Heroes of Sui and Tang Dynasties,2012,0.0,https://www.themoviedb.org/tv/136651,https://image.tmdb.org/t/p/original/xDWhzwXcp8dAn6unvA87nE7Dqh3.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Ban Jing Hui, Xu Wei","Heroes emerged in large numbers during the tumultuous and short-lived Sui to early Tang dynasty period. Most famous among them are Qin Qiong, Luo Cheng, Cheng Yao Jin, Shan Xiong Xin and Wei Chi Gong, known as the ""Five Tigers of Sui and Tang"", who would help Li Shi Min defeat rebels and rivals and pacify the land. The drama will start with the establishment of the Sui dynasty and end with Li Shi Min's ascension to the throne."
