name,year,vote_average,page_url,image_url,genres,director,actors,description
GOING SEVENTEEN,2017.0,9.7,https://www.themoviedb.org/tv/74225,https://image.tmdb.org/t/p/w500/kMtJMPS1f5YMLbiJrk2vJixDGEK.jpg,"Reality, Comedy, Talk",Not specified,"S.Coups, Jeonghan, Joshua, Jun, Hoshi","GOING SEVENTEEN is a variety show by SEVENTEEN. The show is all about SEVENTEEN doing activities, challenges and everything else."
Fated Hearts,2025.0,9.625,https://www.themoviedb.org/tv/272484,https://image.tmdb.org/t/p/w500/9fGl4sfmDDJWBiKkVYpU3PCbYuD.jpg,"Drama, Mystery",Not specified,"Li Qin, Chen Zheyuan, Xia Meng, Chen Heyi, Zuo Ye","After losing her memory in battle, skilled archer Fu Yixiao is taken in by a noble family and unexpectedly reunited with her former enemy, Prince Feng Suige—the man she once struck with an arrow. As they face the dangers of Yujing together, trust replaces suspicion and a deep bond begins to form. Caught in a web of past betrayals and political intrigue, the two must confront their shared history while fighting for survival, freedom, and each other."
Jack & Joker: U Steal My Heart!,2024.0,9.5,https://www.themoviedb.org/tv/240692,https://image.tmdb.org/t/p/w500/X3bmROVCGZUI2HFCwOWySS6ji1.jpg,"Drama, Crime, Action & Adventure","Anan Wong, Wanarat Ratsameerat","Anan Wong, Wanarat Ratsameerat, Ratchapat Worrasarn, Nadol Lamprasert, Siwat Jumlongkul","To pay off his family's debt, a gifted taekwondo prodigy becomes the unwitting accomplice of a charismatic, legendary thief."
Dimension 20,2018.0,9.3,https://www.themoviedb.org/tv/89180,https://image.tmdb.org/t/p/w500/8xZXCenM9n5HYyrgr5FcP2oHwdx.jpg,"Sci-Fi & Fantasy, Comedy, Reality, Action & Adventure",Brennan Lee Mulligan,"Brennan Lee Mulligan, Emily Axford, Ally Beardsley, Brian Murphy, Zac Oyama","Heed the call of adventure and enter Dimension 20 where Game Master Brennan Lee Mulligan, joined by comedians and pro gamers, blends comedy with tabletop RPGs."
Nevskiy,2016.0,9.3,https://www.themoviedb.org/tv/99894,https://image.tmdb.org/t/p/w500/lWoawp3et5nMLmX9LDDckKNSOHo.jpg,Crime,Not specified,"Anton Vasilyev, Andrey Gulnev, Dmitry Palamarchuk, Sergey Koshonin, Viktoriya Maslova","Police captain Pavel Semyonov serves in one of the residential areas of St. Petersburg. Pavel is used to breaking up drunken fights and entering drug dens alone to make another arrest. He knows that if he thinks and argues, he will simply be killed. And he is used to first acting, and then sorting it out, because he really wants to stay alive, because his wife Yulia and son Sasha are waiting for him at home. Risking his life, he saves the daughter of a businessman. In gratitude, Latyshev, the girl's father, facilitates the transfer of Pavel to Nevsky Prospekt, to the very center of the big city, where it is prestigious and profitable to serve ... And soon Pavel begins to suspect that his transfer to the Central District was carried out by Latyshev with some far-reaching plans. And when Pavel goes on the trail of a mysterious killer named Rafael, everything is completely confused. But in a difficult situation, Pavel can always rely on his friends from the sleeping area"
The Manipulated,2025.0,9.267,https://www.themoviedb.org/tv/239385,https://image.tmdb.org/t/p/w500/nOj4nsomFyAVJgpp68L0xq3cREc.jpg,"Crime, Drama",Not specified,"Ji Chang-wook, Doh Kyung-soo, Lee Kwang-soo, Jo Yoon-soo, Kim Jong-soo","Mild-mannered Tae-jung is wrongfully imprisoned for a heinous crime. He soon discovers that a mysterious figure named Yo-han orchestrated his downfall. Fueled by vengeance, Tae-jung sets out to make Yo-han pay."
"My Gift Lvl 9999 Unlimited Gacha: Backstabbed in a Backwater Dungeon, I'm Out for Revenge!",2025.0,9.25,https://www.themoviedb.org/tv/278635,https://image.tmdb.org/t/p/w500/pGNBYEae87H8iLRF3AoztonnZkp.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy, Drama",Not specified,"Nina Tamaki, Ikumi Hasegawa, Shiori Izawa, Yuko Natsuyoshi, Ayumi Mano","God created nine races in the ancient times. Humans were the weakest, most ridiculed race among them. Light, a human boy, was fortunate enough to be invited to join a party of all nine races called the ""Assembly of the Races."" He was happy being a member for a while, but that was a short dream. His hopes were only to be betrayed by his fellow members at the largest, most heinous dungeon ""Abyss."" After surviving by himself at the bottom of Abyss, Light learns the true meaning of his gift ""Unlimited Gacha."" Light will rise from the worst despair to build his own empire of the strongest players."
My Golden Blood,2025.0,9.238,https://www.themoviedb.org/tv/237327,https://image.tmdb.org/t/p/w500/620RwvVH5ZAN0k4TsuARAyySQ0y.jpg,"Drama, Sci-Fi & Fantasy",Dawin,"Way-ar Sangngern, Gawin Caskey, Apasiri Nitibhon, Tanutchai Wijitvongtong, Janya Thanasawaangkoun","Mark is a vampire who hasn't found the meaning of life in centuries until he meets Tong, who gives him a reason to live. However, Tong's rare and powerful blood is irresistible to vampires, and Mark not only has to protect Tong from other vampires, he also has to fight his inner desire, struggling between love and instinct."
Justice in the Dark,2023.0,9.143,https://www.themoviedb.org/tv/131037,https://image.tmdb.org/t/p/w500/puRxk6D3n4HWAyjIi9PML0xaQRQ.jpg,"Drama, Mystery, Crime, Sci-Fi & Fantasy",Priest,"Zhang Xincheng, Fu Xinbo, Zhao Zhiwei, Liu Yihong, Xiao Yu","In the year 253 of the Neo-Civilization, Captain Luo Weizhao and Pei Su investigates a series of crimes tied to the controversial ""Apaths,"" uncovering a deeper conspiracy that challenges society's beliefs about morality, free will, and the power of hope."
"With You, Our Love Will Make It Through",2025.0,9.143,https://www.themoviedb.org/tv/282662,https://image.tmdb.org/t/p/w500/hqx5GLLcv1SuW3AAmv2ZFa7l7bF.jpg,"Animation, Drama, Sci-Fi & Fantasy",Not specified,"Manaka Iwami, Takuya Eguchi, Koutaro Nishiyama, Ai Kakuma","When high schooler Mari runs late for school, she never expects to fall for Tsunagu—a gentle, sensitive, beastfolk! In a world where beastfolk are segregated behind walls, Mari and Tsunagu show their differences are truly bridges. Can their love overcome the divide between beastfolk and humanity?"
