page_url,image_url,tvshow_title,description,genre,year,director,actors,rating
https://www.tvmaze.com/shows/2/person-of-interest,https://static.tvmaze.com/uploads/images/original_untouched/163/407679.jpg,Person of Interest,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you.",Action; Crime; Science-Fiction,2011,,"Jim Caviezel, Michael Emerson, Kevin Chapman, Taraji P. Henson, Amy Acker",8.8
https://www.tvmaze.com/shows/4/arrow,https://static.tvmaze.com/uploads/images/original_untouched/143/358967.jpg,Arrow,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime.",Drama; Action; Science-Fiction,2012,,"Stephen Amell, David Ramsey, Emily Bett Rickards, Willa Holland, Paul Blackthorne",7.4
https://www.tvmaze.com/shows/6/the-100,https://static.tvmaze.com/uploads/images/original_untouched/477/1194981.jpg,The 100,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable.",Action; Adventure; Science-Fiction,2014,,"Eliza Taylor, Marie Avgeropoulos, Bob Morley, Lindsey Morgan, Richard Harmon",7.7
https://www.tvmaze.com/shows/11/gotham,https://static.tvmaze.com/uploads/images/original_untouched/189/474715.jpg,Gotham,"The good. The evil. The beginning.Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?Gotham is an origin story of the great DC Comics Super-Villains and vigilantes, revealing an entirely new chapter that has never been told. It follows one cop's rise through a dangerously corrupt city teetering between good and evil, and chronicles the birth of one of the most popular super heroes of our time.",Drama; Action; Crime,2014,,"Ben McKenzie, Donal Logue, David Mazouz, Robin Lord Taylor, Cory Michael Smith",7.7
https://www.tvmaze.com/shows/13/the-flash,https://static.tvmaze.com/uploads/images/original_untouched/448/1121792.jpg,The Flash,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash!",Drama; Action; Science-Fiction,2014,,"Grant Gustin, Candice Patton, Danielle Panabaker, Jesse L. Martin, Carlos Valdés",7.5
https://www.tvmaze.com/shows/15/constantine,https://static.tvmaze.com/uploads/images/original_untouched/0/154.jpg,Constantine,"Based on the wildly popular comic book series ""Hellblazer"" from DC Comics, seasoned demon hunter and master of the occult John Constantine is armed with a ferocious knowledge of the dark arts and a wickedly naughty wit. He fights the good fight - or at least he did. With his soul already damned to hell, he's decided to abandon his campaign against evil until a series of events thrusts him back into the fray, and he'll do whatever it takes to protect the innocent. With the balance of good and evil on the line‎, Constantine will use his skills to travel the country, find the supernatural terrors that threaten our world and send them back where they belong. After that, who knows... maybe there's hope for him and his soul after all.",Drama; Action; Horror,2014,,"Matt Ryan, Angélica Celaya, Charles Halford, Harold Perrineau, Lucy Griffiths",7.5
https://www.tvmaze.com/shows/18/the-amazing-race,https://static.tvmaze.com/uploads/images/original_untouched/587/1468637.jpg,The Amazing Race,"From athletes and actors to tattoo artists, social workers and musicians - a diverse mix of teams will need to utilize their street smarts and savvy know-how to compete in the race of their lifetime.",Action; Adventure; Family,2001,,Phil Keoghan,6.8
https://www.tvmaze.com/shows/19/supernatural,https://static.tvmaze.com/uploads/images/original_untouched/445/1114097.jpg,Supernatural,"This haunting series follows the Winchester brothers as they crisscross the lonely and mysterious back roads of the country in their '67 Chevy Impala, hunting down every evil supernatural force they encounter along the way.",Drama; Action; Supernatural,2005,,"Jared Padalecki, Jensen Ackles, Misha Collins, Mark Sheppard, Alexander Calvert",8.4
https://www.tvmaze.com/shows/21/the-last-ship,https://static.tvmaze.com/uploads/images/original_untouched/164/412464.jpg,The Last Ship,"Their mission is simple: Find a cure. Stop the virus. Save the world. When a global pandemic wipes out eighty percent of the planet's population, the crew of a lone and unaffected Navy destroyer, the USS Nathan James, must find a way to pull humanity from the brink of extinction.",Drama; Action; Thriller,2014,,"Adam Baldwin, Charles Parnell, Travis Van Winkle, Marissa Neitling, Eric Dane",7.5
https://www.tvmaze.com/shows/24/hawaii-five-0,https://static.tvmaze.com/uploads/images/original_untouched/213/532575.jpg,Hawaii Five-0,"Hawaii Five-0 is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his father's murder and stayed after Hawaii's former governor persuaded him to head up the new team: his rules, no red tape and full blanket authority to hunt down the biggest ""game"" in town. Joining McGarrett is Detective Danny ""Danno"" Williams, a relocated ex-New Jersey cop - a working man in paradise who prefers skyscrapers to the coastline - but who's committed to keeping the Islands safe for his young daughter; Chin Ho Kelly, an ex-Honolulu police detective and former protégé of McGarrett's father who was wrongly accused of corruption; Dr. Max Bergman, the quirky coroner; Chin's cousin, Kono Kalakaua, a beautiful and fearless native; and Captain Lou Grover, who formerly headed Hawaii's SWAT unit. Joining them is Jerry Ortega, a former classmate of Chin's and the Island's local conspiracy theorist. The state's brash FIVE-0 unit, who may spar and jest among themselves, remain determined to eliminate the seedy elements from the 50th state.",Drama; Action; Crime,2010,,"Alex O'Loughlin, Scott Caan, Daniel Dae Kim, Grace Park, Chi McBride",7.7
https://www.tvmaze.com/shows/26/hellsing-ultimate,https://static.tvmaze.com/uploads/images/original_untouched/178/446780.jpg,Hellsing Ultimate,"Hellsing Ultimate, unlike the 13-part Hellsing series, follows the manga of the same name very closely. Alucard being the main protagonist and anti-hero/vampire. Hellsing Ultimate is a 10-part series of OVAs whereby Alucard turns Sera's into a vampire. The main focus of the plot being on an enemy neo-nazi group.",Drama; Action; Anime; Horror,2006,,"Fumiko Orikasa, Jouji Nakata, Yoshiko Sakakibara, Norio Wakamoto",7.6
https://www.tvmaze.com/shows/29/vikings,https://static.tvmaze.com/uploads/images/original_untouched/286/715906.jpg,Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Drama; Action; History,2013,,"Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst, Alex Høgh Andersen",8.6
https://www.tvmaze.com/shows/31/marvels-agents-of-shield,https://static.tvmaze.com/uploads/images/original_untouched/486/1215694.jpg,Marvel's Agents of S.H.I.E.L.D.,"Phil Coulson heads an elite team of fellow agents with the worldwide law-enforcement organization known as S.H.I.E.L.D. (Strategic Homeland Intervention Enforcement and Logistics Division), as they investigate strange occurrences around the globe. Its members -- each of whom brings a specialty to the group -- work with Coulson to protect those who cannot protect themselves from extraordinary and inconceivable threats.",Action; Adventure; Science-Fiction,2013,,"Elizabeth Henstridge, Chloe Bennet, Ming-Na Wen, Clark Gregg, Iain De Caestecker",8.0
